nohup: ignoring input
Evaluation scenes: 312
Loaded ScanNetDepthDataset: 54090 samples.
Loading weights from local directory
[foundation_vggt] step 6540/6762 abs_rel=0.2792
[foundation_vggt] step 6560/6762 abs_rel=0.3931
[foundation_vggt] step 6580/6762 abs_rel=0.3632
[foundation_vggt] step 6600/6762 abs_rel=0.0980
[foundation_vggt] step 6620/6762 abs_rel=0.1210
[foundation_vggt] step 6640/6762 abs_rel=0.2055
[foundation_vggt] step 6660/6762 abs_rel=0.1440
[foundation_vggt] step 6680/6762 abs_rel=0.2589
[foundation_vggt] step 6700/6762 abs_rel=0.1295
[foundation_vggt] step 6720/6762 abs_rel=0.2343
[foundation_vggt] step 6740/6762 abs_rel=0.2711
[foundation_vggt] step 6760/6762 abs_rel=0.3132

=== Evaluation Results ===
    mode: foundation_vggt
 abs_rel: 0.213453
valid_batches: 6762

Saved metrics to: task3/outputs/vggt/eval_vggt.json
Saved per-batch log to: task3/outputs/vggt/eval_vggt_per_batch.jsonl
